bearing,bearing_risk(HH),bearing_risk(30),bearing_risk(45),bearing_risk(60)
58.4,19.10674034,16.57745858,15.95193371,0
58.5,18.99524863,16.47458565,15.47845305,0
58.6,19.00154698,16.2563536,15.58773482,0
58.7,18.86066299,16.27403316,15.38121547,0
58.8,18.51613261,16.48895029,15.59535912,0
58.9,18.28165746,16.26751382,15.38552487,0
59,18.1363536,16.39779006,15.41104974,0
59.1,18.06994476,16.30629835,15.33436465,0
59.2,17.99458564,16.39745858,15.34662985,0
59.3,17.92541437,15.83513813,15.33127072,0
59.4,17.85314918,15.60287294,15.08441991,0
59.5,17.84751382,15.43613261,14.65292819,0
59.6,17.70364642,15.33779008,14.97149172,0
59.7,17.49812156,15.29116023,14.66486188,0
59.8,17.19745857,15.47348067,14.40220996,0
59.9,17.07502764,15.31093924,14.46331493,0
60,17.05060775,15.19723759,14.60718234,0
60.1,17.33977902,15.32640885,14.52983427,5.86265194
60.2,17.09381217,15.34088399,14.460663,5.899779017
60.3,17.11502764,14.96895029,14.41480664,5.526077347
60.4,16.90674034,14.6805525,13.83480664,5.569171268
60.5,16.87524863,14.47303869,13.74685085,5.866961329
60.6,16.82331492,14.51237571,13.57425416,5.787292822
60.7,16.76232045,14.4727072,13.62353593,5.927624311
60.8,16.56000001,14.35524863,13.66375692,6.012044203
60.9,16.3487293,14.33767957,13.55436466,6.17226519
61,16.02762432,14.36000002,13.59491714,6.842983426
61.1,15.91756907,14.520442,13.54309394,7.061767958
61.2,15.87790057,14.35116024,13.6601105,7.03127072
61.3,15.94154697,13.85878455,13.380442,7.318784532
61.4,15.74364643,13.61436465,12.94806631,7.445082884
61.5,15.64232046,13.47955803,12.54729283,7.617569071
61.6,15.49613261,13.48751382,12.59447514,7.880442012
61.7,15.50685084,13.50408841,12.73977901,8.28243095
61.8,15.21127072,13.39591161,12.63712709,8.489171286
61.9,15.02309394,13.32220995,12.73414366,8.894917146
62,14.91425415,13.35756907,12.51138122,9.405193393
62.1,14.77093924,13.29314918,12.68232045,9.880000008
62.2,14.77071824,13.45337018,12.4523757,10.08563537
62.3,14.62629835,13.07911603,12.5085083,9.823756926
62.4,14.54607736,12.81779007,12.12640884,10.15900554
62.5,14.46088399,12.46662985,11.960663,9.930939242
62.6,14.56629835,12.46718233,11.93734807,10.17513814
62.7,14.4527072,12.48077349,11.82331492,10.11624311
62.8,14.23966852,12.54375691,11.78320443,10.44784532
62.9,14.18209946,12.31425415,11.63878454,10.63082874
63,14.03823205,12.35093924,11.59138122,10.81381217
63.1,13.81325968,12.27458565,11.6479558,10.9565746
63.2,13.71182322,12.28729283,11.55535912,10.93790057
63.3,13.69071824,12.00287294,11.4840884,10.85447515
63.4,13.52508289,11.65524862,10.99325968,10.2605525
63.5,13.40243095,11.53270719,10.84662984,10.22939227
63.6,13.3803315,11.36475139,10.95723758,10.07591161
63.7,13.23944752,11.32364642,10.88596687,9.857569071
63.8,13.11337018,11.30629836,10.59447515,10.26397791
63.9,12.82872929,11.29812156,10.86265195,10.00651934
64,12.72596686,11.18972377,10.7322652,10.01138123
64.1,12.61226521,11.25182322,10.83403317,9.934143653
64.2,12.60895029,11.17469615,10.69657461,9.935138131
64.3,12.39193371,10.97005526,10.60088399,9.819337021
64.4,12.36618785,10.81138123,10.12972376,9.209944758
64.5,12.23292819,10.48165746,9.983867409,9.202762441
64.6,12.12088399,10.31270719,9.929060785,9.178011049
64.7,11.99911603,10.10198896,9.535690614,8.817016573
64.8,11.68154696,10.01790056,9.361878468,8.719889511
64.9,11.69546962,9.846629835,9.126740335,8.361657456
65,11.55071823,9.688066302,8.889613283,8.096574602
65.1,11.64110498,9.530497244,8.748397808,7.892817692
65.2,11.52751382,9.489392269,8.521215477,7.434475149
65.3,11.32994475,9.351381228,8.264751392,7.323646418
65.4,11.18198895,8.922099453,8.033812156,7.062430946
65.5,11.00983426,8.530828733,7.839005529,6.633038678
65.6,10.79469613,8.294143658,7.435138128,6.576795581
65.7,10.66563536,8.073922664,7.160883986,6.108397788
65.8,10.53779005,7.807292828,6.749502767,5.682872928
65.9,10.37292818,7.584088407,6.63093923,5.458453037
66,10.24850829,7.516464099,6.391049721,5.172928172
66.1,10.02298343,7.410386749,6.235469618,5.004751384
66.2,9.83138122,7.387734814,6.094917131,4.739889507
66.3,9.542762436,7.290386747,6.045635366,4.491160218
66.4,9.327071833,7.066740338,5.983646415,4.442872932
66.5,9.099558027,6.92895028,5.938563542,4.170055248
66.6,8.794254156,6.713922652,5.790828736,4.115248619
66.7,8.647513827,6.727403321,5.645303873,3.99425414
66.8,8.464972392,6.759447521,5.602320448,3.8040884
66.9,8.225635371,6.646298348,5.721878457,3.674254142
67,8.149944762,6.567292824,5.703977906,3.58121547
67.1,7.964088404,6.625414371,5.767955804,3.427292815
67.2,7.804751392,6.663977904,5.757900554,3.421436461
67.3,7.659668514,6.601878454,5.94209945,3.324309395
67.4,7.645303872,6.517679564,5.719668511,3.28165746
67.5,7.515359125,6.214033152,5.766850834,3.16441989
67.6,7.656243101,6.251160226,5.625082881,3.140000002
67.7,7.588729285,6.230165754,5.607292822,3.059337017
67.8,7.631712711,6.09546962,5.635027626,2.980110498
67.9,7.525856364,6.216022105,5.697569066,2.865082875
68,7.45270719,6.034696139,5.66375691,2.882651936
68.1,7.315027631,6.127734807,5.719005524,2.843535914
68.2,7.279337019,6.153149172,5.741546962,2.818342541
68.3,7.312044205,6.050939235,5.754585641,2.790607736
68.4,7.287513817,5.901657459,5.651049728,2.827955803
68.5,7.230718236,5.67911603,5.641546973,2.80276243
68.6,7.143867404,5.66320442,5.648839786,2.873149174
68.7,7.182762437,5.555801116,5.605524864,2.787403312
68.8,7.008618791,5.612154705,5.583425423,2.798342542
68.9,6.978674036,5.45922652,5.514806635,2.762099445
69,7.004088408,5.503646417,5.511712713,2.832486194
69.1,6.908397796,5.597237572,5.392265201,2.734585633
